V-A Characteristics 1.6.5

Experiment
Name

L E G E N D
M1	Ausgangskennlinienfeld
M2	
M3	
M4	

M1 - U [V]	M1 - I [µA]	M2 - U [V]	M2 - I [µA]	M3 - U [V]	M3 - I [µA]	M4 - U [V]	M4 - I [µA]
0,380	44,00	0,330	74,00	0,320	110,00	0,297	168,56
0,390	44,00	0,340	74,25	0,330	110,25	0,304	169,00
0,400	44,00	0,350	74,56	0,340	110,56	0,310	169,50
0,411	44,00	0,360	75,00	0,349	111,00	0,316	170,00
0,423	44,06	0,370	76,00	0,357	111,44	0,323	170,50
0,435	44,25	0,381	75,75	0,365	111,75	0,330	171,00
0,447	44,56	0,393	75,94	0,373	111,94	0,338	171,44
0,459	45,00	0,405	76,00	0,381	112,00	0,345	171,75
0,470	46,00	0,417	76,00	0,390	112,00	0,353	172,00
0,481	45,75	0,429	76,00	0,400	112,00	0,361	172,25
0,493	45,94	0,440	76,00	0,410	112,00	0,370	172,56
0,505	46,00	0,450	76,00	0,420	112,00	0,380	173,00
0,517	46,00	0,460	76,00	0,430	112,00	0,390	174,00
0,529	46,00	0,470	76,00	0,440	112,00	0,401	173,75
0,540	45,94	0,480	76,00	0,450	112,00	0,413	173,94
0,550	45,75	0,490	76,00	0,461	112,00	0,425	174,00
0,560	45,44	0,500	75,94	0,473	112,00	0,437	174,00
0,570	45,00	0,510	75,75	0,485	112,00	0,449	174,00
0,580	44,56	0,520	75,44	0,497	112,06	0,460	174,00
0,590	44,25	0,530	75,00	0,509	112,25	0,470	174,00
0,600	44,06	0,540	74,56	0,520	112,50	0,480	173,94
0,610	44,00	0,550	74,25	0,530	112,75	0,490	173,75
0,620	44,06	0,560	74,06	0,540	114,00	0,500	173,44
0,631	44,25	0,570	74,00	0,551	112,75	0,510	173,00
0,643	44,56	0,580	74,06	0,563	112,50	0,520	172,56
0,655	45,00	0,590	74,25	0,575	112,25	0,530	172,25
0,667	45,44	0,600	74,56	0,587	112,06	0,540	172,06
0,680	45,75	0,610	75,00	0,599	112,00	0,550	172,00
0,693	45,94	0,620	75,44	0,610	112,00	0,560	172,00
0,705	46,00	0,631	75,75	0,620	112,00	0,570	172,00
0,717	45,94	0,643	75,94	0,630	112,00	0,580	172,00
0,729	45,75	0,655	76,00	0,640	112,00	0,590	172,00
0,740	45,44	0,667	76,00	0,650	112,00	0,600	172,06
0,750	45,00	0,679	76,00	0,660	112,00	0,610	172,25
0,760	44,56	0,690	76,00	0,670	112,00	0,620	172,56
0,770	44,25	0,701	76,00	0,680	112,00	0,630	173,00
0,780	44,06	0,713	75,94	0,690	112,00	0,640	173,44
0,791	44,00	0,725	75,75	0,700	112,00	0,650	173,75
0,803	44,00	0,737	75,44	0,710	112,00	0,660	173,94
0,815	44,00	0,749	75,00	0,720	112,00	0,671	174,00
0,827	44,00	0,760	74,56	0,730	112,00	0,683	174,00
0,839	44,00	0,770	74,25	0,740	112,00	0,695	174,00
0,849	44,00	0,780	74,06	0,750	112,00	0,707	174,00
0,859	44,00	0,790	74,00	0,761	112,00	0,719	174,00
0,867	44,00	0,800	74,00	0,773	112,00	0,730	174,00
0,875	44,00	0,810	74,00	0,785	112,00	0,740	174,00
0,883	44,00	0,820	74,00	0,797	112,00	0,750	174,00
0,891	44,00	0,831	74,00	0,809	112,00	0,760	174,00
0,901	44,00	0,843	74,06	0,820	112,00	0,770	173,94
0,911	44,00	0,855	74,25	0,830	112,00	0,781	173,75
0,923	44,00	0,868	74,50	0,840	112,00	0,793	173,50
0,935	44,00	0,880	74,75	0,851	112,00	0,805	173,25
0,948	44,06	0,893	74,88	0,863	112,00	0,817	173,13
0,960	44,25	0,905	74,75	0,875	112,00	0,829	173,25
0,973	44,56	0,917	74,50	0,887	112,00	0,840	173,50
0,985	45,00	0,929	74,25	0,899	112,00	0,850	173,75
0,997	45,38	0,940	74,06	0,910	112,00	0,860	173,94
1,009	45,50	0,950	74,00	0,920	112,00	0,871	174,00
1,020	45,38	0,960	74,00	0,930	112,00	0,883	174,00
1,030	45,00	0,970	74,00	0,941	112,00	0,895	174,00
1,040	44,56	0,980	74,06	0,953	112,00	0,907	174,00
1,050	44,25	0,990	74,25	0,965	112,00	0,920	174,00
1,060	44,06	1,000	74,50	0,977	112,00	0,933	174,00
1,070	44,00	1,010	74,75	0,989	112,00	0,945	174,00
1,080	44,00	1,020	74,88	1,000	112,00	0,957	174,00
1,090	44,00	1,031	74,75	1,010	112,00	0,969	174,00
1,100	44,00	1,042	74,50	1,020	112,00	0,980	173,94
1,110	44,00	1,054	74,25	1,030	112,00	0,990	173,75
1,120	44,00	1,064	74,06	1,040	112,00	1,000	173,44
1,135	44,00	1,074	74,00	1,051	112,00	1,010	173,00
1,150	44,00	1,083	74,00	1,063	112,00	1,020	172,56
1,155	44,00	1,091	74,00	1,075	112,00	1,030	172,25
1,160	44,00	1,100	74,00	1,087	112,00	1,040	172,06
1,170	44,00	1,110	74,00	1,100	112,00	1,050	172,00
1,180	44,00	1,120	74,00	1,110	112,00	1,060	172,00
1,205	45,00	1,130	75,00	1,120	112,00	1,070	172,00
1,230	46,00	1,140	76,00	1,130	112,00	1,080	172,00
1,245	45,50	1,155	76,00	1,140	112,00	1,090	172,00
1,252	45,00	1,170	76,00	1,150	112,00	1,100	172,00
1,259	44,77	1,185	76,00	1,160	112,00	1,110	172,00
1,270	44,00	1,200	76,00	1,170	112,00	1,120	172,00
		1,210	76,00	1,180	112,00	1,130	173,00
		1,220	76,00	1,190	112,00	1,140	174,00
		1,235	76,00	1,200	112,00	1,150	174,00
		1,250	76,00	1,210	112,00	1,160	174,00
		1,255	75,00	1,225	112,00	1,165	174,00
		1,258	74,60	1,240	112,00	1,170	174,00
		1,262	74,31	1,245	112,00	1,185	174,00
		1,270	74,00	1,251	112,00	1,200	174,00
				1,256	112,00	1,220	174,00
				1,270	112,00	1,240	174,00
						1,250	174,00
						1,255	174,00
						1,261	174,00
						1,270	174,00
